date,group_name,ratio
2024-11-25,UncommonStyle,0.21303
2024-12-02,UncommonStyle,0.14912
2024-12-09,UncommonStyle,0.2876
2024-12-16,UncommonStyle,0.25564
2024-12-23,UncommonStyle,0.24499
2024-12-30,UncommonStyle,0.24499
2025-01-06,UncommonStyle,0.18108
2025-01-13,UncommonStyle,0.21303
2025-01-20,UncommonStyle,0.3089
2025-01-27,UncommonStyle,0.25564
2025-02-03,UncommonStyle,0.38346
2025-02-10,UncommonStyle,0.31955
2025-02-17,UncommonStyle,0.14912
2025-02-24,UncommonStyle,0.3089
2025-03-03,UncommonStyle,0.20238
2025-03-10,UncommonStyle,0.12782
2025-03-17,UncommonStyle,0.07456
2025-03-24,UncommonStyle,0.11717
2025-03-31,UncommonStyle,0.12782
2022-03-28,HomeAppliances,48.98806
2022-04-04,HomeAppliances,50.2876
2022-04-11,HomeAppliances,62.10055
2022-04-18,HomeAppliances,55.73072
2022-04-25,HomeAppliances,56.84916
2022-05-02,HomeAppliances,53.48317
2022-05-09,HomeAppliances,42.91648
2022-05-16,HomeAppliances,45.55815
2022-05-23,HomeAppliances,47.72049
2022-05-30,HomeAppliances,49.09458
2022-06-06,HomeAppliances,46.6766
2022-06-13,HomeAppliances,49.19045
2022-06-20,HomeAppliances,59.62931
2022-06-27,HomeAppliances,62.17511
2022-07-04,HomeAppliances,54.46314
2022-07-11,HomeAppliances,60.1619
2022-07-18,HomeAppliances,55.01704
2022-07-25,HomeAppliances,49.21175
2022-08-01,HomeAppliances,54.09032
2022-08-08,HomeAppliances,63.84746
2022-08-15,HomeAppliances,56.73199
2022-08-22,HomeAppliances,51.83212
2022-08-29,HomeAppliances,53.76011
2022-09-05,HomeAppliances,58.94759
2022-09-12,HomeAppliances,57.33915
2022-09-19,HomeAppliances,45.20664
2022-09-26,HomeAppliances,43.10822
2022-10-03,HomeAppliances,46.80443
2022-10-10,HomeAppliances,46.48487
2022-10-17,HomeAppliances,46.57008
2022-10-24,HomeAppliances,40.37068
2022-10-31,HomeAppliances,48.23178
2022-11-07,HomeAppliances,44.03493
2022-11-14,HomeAppliances,43.63016
2022-11-21,HomeAppliances,43.16148
2022-11-28,HomeAppliances,44.73796
2022-12-05,HomeAppliances,55.79463
2022-12-12,HomeAppliances,47.40093
2022-12-19,HomeAppliances,44.01363
2022-12-26,HomeAppliances,47.84831
2023-01-02,HomeAppliances,46.26118
2023-01-09,HomeAppliances,50.84149
2023-01-16,HomeAppliances,49.93608
2023-01-23,HomeAppliances,52.75884
2023-01-30,HomeAppliances,47.29441
2023-02-06,HomeAppliances,56.90242
2023-02-13,HomeAppliances,52.90796
2023-02-20,HomeAppliances,52.15168
2023-02-27,HomeAppliances,46.95355
2023-03-06,HomeAppliances,44.83383
2023-03-13,HomeAppliances,49.2011
2023-03-20,HomeAppliances,47.15594
2023-03-27,HomeAppliances,43.21474
2023-04-03,HomeAppliances,43.97102
2023-04-10,HomeAppliances,62.21772
2023-04-17,HomeAppliances,57.3285
2023-04-24,HomeAppliances,53.89859
2023-05-01,HomeAppliances,80.6668
2023-05-08,HomeAppliances,63.75159
2023-05-15,HomeAppliances,52.50319
2023-05-22,HomeAppliances,50.3089
2023-05-29,HomeAppliances,62.31359
2023-06-05,HomeAppliances,62.75031
2023-06-12,HomeAppliances,57.39241
2023-06-19,HomeAppliances,56.41244
2023-06-26,HomeAppliances,67.22411
2023-07-03,HomeAppliances,58.85172
2023-07-10,HomeAppliances,69.14145
2023-07-17,HomeAppliances,64.93395
2023-07-24,HomeAppliances,63.41073
2023-07-31,HomeAppliances,55.48572
2023-08-07,HomeAppliances,54.07967
2023-08-14,HomeAppliances,57.91435
2023-08-21,HomeAppliances,56.54026
2023-08-28,HomeAppliances,57.14742
2023-09-04,HomeAppliances,54.48444
2023-09-11,HomeAppliances,62.55858
2023-09-18,HomeAppliances,56.15679
2023-09-25,HomeAppliances,58.11674
2023-10-02,HomeAppliances,53.6749
2023-10-09,HomeAppliances,55.02769
2023-10-16,HomeAppliances,50.11717
2023-10-23,HomeAppliances,48.28504
2023-10-30,HomeAppliances,58.7452
2023-11-06,HomeAppliances,67.85257
2023-11-13,HomeAppliances,63.36812
2023-11-20,HomeAppliances,57.79718
2023-11-27,HomeAppliances,55.65615
2023-12-04,HomeAppliances,57.70132
2023-12-11,HomeAppliances,57.37111
2023-12-18,HomeAppliances,58.57477
2023-12-25,HomeAppliances,50.23434
2024-01-01,HomeAppliances,59.35236
2024-01-08,HomeAppliances,61.06731
2024-01-15,HomeAppliances,65.38133
2024-01-22,HomeAppliances,62.31359
2024-01-29,HomeAppliances,62.98466
2024-02-05,HomeAppliances,70.66467
2024-02-12,HomeAppliances,72.10268
2024-02-19,HomeAppliances,67.31998
2024-02-26,HomeAppliances,60.04473
2024-03-04,HomeAppliances,56.80656
2024-03-11,HomeAppliances,53.4086
2024-03-18,HomeAppliances,52.47123
2024-03-25,HomeAppliances,60.41755
2024-04-01,HomeAppliances,56.61482
2024-04-08,HomeAppliances,57.79718
2024-04-15,HomeAppliances,97.61397
2024-04-22,HomeAppliances,74.38219
2024-04-29,HomeAppliances,81.63613
2024-05-06,HomeAppliances,89.3481
2024-05-13,HomeAppliances,64.14571
2024-05-20,HomeAppliances,62.56923
2024-05-27,HomeAppliances,68.56625
2024-06-03,HomeAppliances,63.42138
2024-06-10,HomeAppliances,58.34043
2024-06-17,HomeAppliances,59.45888
2024-06-24,HomeAppliances,63.62377
2024-07-01,HomeAppliances,74.69109
2024-07-08,HomeAppliances,71.79377
2024-07-15,HomeAppliances,72.11333
2024-07-22,HomeAppliances,69.12015
2024-07-29,HomeAppliances,58.53216
2024-08-05,HomeAppliances,58.97954
2024-08-12,HomeAppliances,62.10055
2024-08-19,HomeAppliances,59.88495
